State,Homemaker Services,Home Health AIDE
USA National ,$35,$35
Albama,$25,$25
Alaska,$34,$35
Arizona,$35,$36
Arkansas,$26,$26
California,$39,$39
Colorado,$40,$42
Connecticut,$35,$35
Delaware,$35,$34
District of Colombia,$38,$38
Florida,$30,$30
Georgia,$29,$29
Hawaii,$40,$43
Idaho,$31,$34
Illinois,$35,$35
Indiana ,$32,$33
Iowa,$34,$38
Kansas,$30,$32
Kentucky,$32,$34
Louisiana,$20,$22
Maine,$40,$43
Maryland,$35,$35
Massachusetts,$38,$38
Michigan,$33,$34
Minnesota,$40,$43
Mississippi,$23,$25
Missouri,$32,$33
Montana,$40,$40
Nebraska,$35,$36
Nevada,$36,$38
New Hampshire,$38,$39
New Jersey,$38,$36
New Mexico,$28,$28
New York,$34,$34
North Carolina,$30,$30
North Dakota,$40,$40
Ohio,$32,$32
Oklahoma,$35,$34
Oregon,$40,$40
Pennsylvania,$33,$33
Rhode Island,$42,$38
South Carolina,$30,$30
South Dakota,$44,$44
Tennessee,$32,$31
Texas,$30,$28
Utah ,$36,$38
Vermont,$45,$44
Virginia,$33,$32
Washington,$42,$42
West Virginia,$30,$26
Wisconsin,$38,$36
Wyoming,$34,$30
,,
"* Details: United States; CareYaya; January 2025 to May 2025; 5,038 respondents; Telephone interview and email surveys
",,
